Image,CNN IoU,Hough IoU
143,0.8985460069444448,0.9588394827858219
144,0.8867070153374946,0.8264462809917358
145,0.42586168384171874,0.7408837272317201
146,0.9673233911184355,0.9331780526832562
147,1.0,0.8993242106489058
148,0.9584623652326463,0.9351321740233175
149,0.8464839940446711,0.8212890624999996
150,0.5625542002297838,0
151,0.9669417378171745,0
152,0.9499801534774154,0.9523878647118593
153,0.9754413984252004,0
154,0.8766956266692139,0
155,0.8944205817201721,0.4022275185759526
156,0.9367972735982033,0
157,0.8806839019029122,0.9084472656249996
158,0.7574944549264394,0.7517314045418793
159,0.835918367346939,0.93895520279392
160,0.6187320000785919,0.8573388203017834
161,0.9716326530612248,0.967794090273468
162,0.9149338374291116,0.9560493827160497
163,0.8402777777777777,0.8402777777777778
164,0.9611687812379857,0.9228558935860958
165,0.7407240942673472,0.0
166,0.9255828246404617,0.932223543400713
167,0.8185941043083899,0.8005540166204983
168,0.9002869300824865,0.8641142630430468
169,0.916439912848196,0.9480609418282551
170,0.8005540166204983,0.8444119795471143
171,0.7962604508546756,0.8745640272784552
172,0.887943786982249,0.9163998200156576
173,0.8668252080856118,0.8919753086419756
174,0.9196771791029545,0.8444119795471143
175,0.8993242106489056,0
176,1.0,0.9272976680384087
177,0.8280947846933794,0.8992271105826393
178,0.8520710059171599,0.9404404325743287
179,0.7923391623599206,0.797193877551021
180,0.7256722937973578,0.9129493024222721
181,0.9398518640644912,0.9161224489795917
182,0.9852823055000972,0.8551277604347319
183,0.8165857317455533,0
184,0.493763485806275,0.0
185,0.8622041920840409,0.8402777777777778
186,0.5242053696358105,0.8323308804511781
187,0.9691644404076494,0
188,0.7191986727034735,0.7225000000000003
189,0.6548369177566007,0.6944444444444444
190,0.9150803751556472,0.873818525519849
191,0.9256389486939218,0.8402777777777777
192,0.9277742658143135,0.9194970913867514
193,0.8402777777777777,0.8889795918367344
194,0.762640415221817,0.9091400757166034
195,0.4617476785295886,0.07304601899196493
196,0.9466627607499012,0.9245562130177523
197,0.8655391327216294,0.7403399580909004
198,0.9363944433020887,0
199,0.7545270176656537,0
200,0.9105227025463943,0.8889795918367347
201,0.7785467128027685,0.8789062500000001
202,0.8668666043437042,0
203,0.8049914453789444,0.6782006920415223
204,0.7564307276590527,0.8751300728407905
205,0.8547223657248694,0.888151231253209
206,0.9564427831681979,0.9124526620628208
207,0.795471146822498,0.9480609418282548
208,0.9124526620628208,0.9403122130394861
209,0.9508630958141782,0.9617504369511535
210,0.855993805724428,0.800554016620499
211,0.8011003384080196,0.9052283438793871
212,0.8729936148832221,0.8336483931947073
